class_id,class_name,precision_percent,recall_percent,f1_percent,accuracy_percent,support,predicted_count
0,Strawberry,99.12149047851562,98.7258071899414,98.92325592041016,98.7258071899414,31314,31189
1,Cowpea,97.27186584472656,77.23362731933594,86.10226440429688,77.23362731933594,15927,12646
2,Soybean,98.32425689697266,97.77809143066406,98.0504150390625,97.77809143066406,7201,7161
3,Sorghum,99.8122329711914,99.30611419677734,99.55852508544922,99.30611419677734,3747,3728
4,Water spinach,96.32605743408203,99.88095092773438,98.07130432128906,99.88095092773438,840,871
5,Watermelon,85.72335052490234,85.156005859375,85.43873596191406,85.156005859375,3173,3152
6,Greens,57.11709213256836,99.63697814941406,72.61023712158203,99.63697814941406,4132,7208
7,Trees,83.81336975097656,85.7914810180664,84.7908935546875,85.7914810180664,12584,12881
8,Grass,74.5156478881836,75.43753814697266,74.97376251220703,75.43753814697266,6628,6710
