class_id,class_name,precision_percent,recall_percent,f1_percent,accuracy_percent,support,predicted_count
0,Corn,99.92131805419922,99.87995910644531,99.90062713623047,99.87995910644531,24158,24148
1,Cotton,99.67576599121094,99.64176177978516,99.65876007080078,99.64176177978516,5862,5860
2,Sesame,99.81159210205078,99.85862731933594,99.83509826660156,99.85862731933594,2122,2123
3,Broad-leaf soybean,99.8689193725586,99.86214447021484,99.86553192138672,99.86214447021484,44249,44246
4,Narrow-leaf soybean,98.86985778808594,99.34617614746094,99.10745239257812,99.34617614746094,2906,2920
