class_id,class_name,precision_percent,recall_percent,f1_percent,accuracy_percent,support,predicted_count
0,Asphalt,99.29367065429688,99.93537139892578,99.61348724365234,99.93537139892578,4642,4672
1,Meadows,99.97695922851562,99.74720764160156,99.86194610595703,99.74720764160156,13054,13024
2,Gravel,99.79324340820312,98.5704574584961,99.17808532714844,98.5704574584961,1469,1451
3,Trees,98.4743423461914,99.30069732666016,98.88579559326172,99.30069732666016,2145,2163
4,Painted,100.0,100.0,100.0,100.0,942,942
