class_id,class_name,precision_percent,recall_percent,f1_percent,accuracy_percent,support,predicted_count
0,Corn,99.9460678100586,99.73094177246094,99.83837890625,99.73094177246094,24158,24106
1,Cotton,99.67554473876953,99.57352447509766,99.62450408935547,99.57352447509766,5862,5856
2,Sesame,99.81159210205078,99.85862731933594,99.83509826660156,99.85862731933594,2122,2123
3,Broad-leaf soybean,99.76728820800781,99.79434967041016,99.78080749511719,99.79434967041016,44249,44261
4,Narrow-leaf soybean,98.86909484863281,99.27735900878906,99.07279968261719,99.27735900878906,2906,2918
5,Rice,98.54432678222656,99.5300064086914,99.03471374511719,99.5300064086914,8298,8381
6,Water,100.0,99.89347839355469,99.94671630859375,99.89347839355469,46939,46889
