class_id,class_name,precision_percent,recall_percent,f1_percent,accuracy_percent,support,predicted_count
0,Alfalfa,100.0,100.0,100.0,100.0,21,21
1,Corn-notill,94.1849365234375,98.8989028930664,96.48436737060547,98.8989028930664,999,1049
2,Corn-mintill,98.65642547607422,88.46815490722656,93.2849349975586,88.46815490722656,581,521
3,Corn,96.8944091796875,93.97589874267578,95.412841796875,93.97589874267578,166,161
4,Grass-pasture,95.7507095336914,100.0,97.82923126220703,100.0,338,353
5,Grass-trees,98.63013458251953,98.63013458251953,98.63013458251953,98.63013458251953,511,511
