class_id,class_name,precision_percent,recall_percent,f1_percent,accuracy_percent,support,predicted_count
0,Weeds_1,99.71428680419922,99.28876495361328,99.50106811523438,99.28876495361328,1406,1400
1,Weeds_2,99.61744689941406,99.84662628173828,99.73189544677734,99.84662628173828,2608,2614
2,Fallow,99.71160888671875,100.0,99.85559844970703,100.0,1383,1387
3,Fallow_rough_plow,97.98792266845703,99.79508209228516,98.88324737548828,99.79508209228516,976,994
4,Fallow_smooth,99.89224243164062,98.93276977539062,99.41019439697266,98.93276977539062,1874,1856
5,Stubble,100.0,100.0,100.0,100.0,2771,2771
6,Celery,100.0,100.0,100.0,100.0,2505,2505
7,Grapes_untrained,100.0,99.68314361572266,99.84132385253906,99.68314361572266,7890,7865
8,Soil_vinyard_develop,100.0,99.47029113769531,99.73444366455078,99.47029113769531,4342,4319
9,Corn_Weeds,97.94871520996094,99.9128189086914,98.9210205078125,99.9128189086914,2294,2340
10,Lettuce_4wk,100.0,100.0,100.0,100.0,747,747
11,Lettuce_5wk,100.0,99.85173797607422,99.92581939697266,99.85173797607422,1349,1347
