class_id,class_name,precision_percent,recall_percent,f1_percent,accuracy_percent,support,predicted_count
0,Alfalfa,84.0,100.0,91.30435180664062,100.0,21,25
1,Corn-notill,95.4500503540039,96.59659576416016,96.01990509033203,96.59659576416016,999,1011
2,Corn-mintill,97.42646789550781,91.22203063964844,94.22222137451172,91.22203063964844,581,544
3,Corn,92.7374267578125,100.0,96.23188018798828,100.0,166,179
4,Grass-pasture,96.53179168701172,98.81656646728516,97.66081237792969,98.81656646728516,338,346
5,Grass-trees,97.84735870361328,97.84735870361328,97.84735870361328,97.84735870361328,511,511
