class_id,class_name,precision_percent,recall_percent,f1_percent,accuracy_percent,support,predicted_count
0,Strawberry,99.43988037109375,99.21440887451172,99.32701110839844,99.21440887451172,31314,31243
1,Cowpea,99.89844512939453,98.81961059570312,99.3561019897461,98.81961059570312,15927,15755
2,Soybean,99.69465637207031,99.75003814697266,99.72233581542969,99.75003814697266,7201,7205
3,Sorghum,99.91973876953125,99.67974090576172,99.79960632324219,99.67974090576172,3747,3738
4,Water spinach,99.76246643066406,100.0,99.88109588623047,100.0,840,842
5,Watermelon,89.58760070800781,96.53324890136719,92.93083190917969,96.53324890136719,3173,3419
