class_id,class_name,precision_percent,recall_percent,f1_percent,accuracy_percent,support,predicted_count
0,Asphalt,95.84710693359375,99.93537139892578,97.84854888916016,99.93537139892578,4642,4840
1,Meadows,99.16154479980469,95.1279296875,97.10286712646484,95.1279296875,13054,12523
2,Gravel,99.6558837890625,98.5704574584961,99.11019897460938,98.5704574584961,1469,1453
3,Trees,99.06803131103516,99.11421966552734,99.09112548828125,99.11421966552734,2145,2146
4,Painted,100.0,100.0,100.0,100.0,942,942
5,Soil,84.47635650634766,96.93182373046875,90.27649688720703,96.93182373046875,3520,4039
6,Bitumen,100.0,81.63265228271484,89.88763427734375,81.63265228271484,931,760
