class_id,class_name,precision_percent,recall_percent,f1_percent,accuracy_percent,support,predicted_count
0,Corn,99.94591522216797,99.43704223632812,99.69083404541016,99.43704223632812,24158,24035
1,Cotton,99.89610290527344,98.41350555419922,99.1492691040039,98.41350555419922,5862,5775
2,Sesame,99.95262908935547,99.43449401855469,99.69288635253906,99.43449401855469,2122,2111
3,Broad-leaf soybean,99.9677505493164,91.06645965576172,95.30972290039062,91.06645965576172,44249,40309
4,Narrow-leaf soybean,99.26686096191406,93.18650817871094,96.1306381225586,93.18650817871094,2906,2728
5,Rice,99.93230438232422,88.94914245605469,94.12139892578125,88.94914245605469,8298,7386
6,Water,99.9978256225586,97.96544647216797,98.97119903564453,97.96544647216797,46939,45985
7,Roads and houses,45.843406677246094,98.85702514648438,62.63896942138672,98.85702514648438,4987,10754
8,Mixed weed,76.81796264648438,86.01092529296875,81.15493774414062,86.01092529296875,3660,4098
