class_id,class_name,precision_percent,recall_percent,f1_percent,accuracy_percent,support,predicted_count
0,Strawberry,99.06360626220703,92.9073257446289,95.88675689697266,92.9073257446289,31314,29368
1,Cowpea,97.73117065429688,75.1867904663086,84.98934936523438,75.1867904663086,15927,12253
2,Soybean,98.12613677978516,97.44479370117188,97.7842788696289,97.44479370117188,7201,7151
3,Sorghum,99.8656997680664,99.22604370117188,99.54483795166016,99.22604370117188,3747,3723
4,Water spinach,96.0,100.0,97.95917510986328,100.0,840,875
5,Watermelon,82.34928131103516,83.51717376708984,82.92912292480469,83.51717376708984,3173,3218
6,Greens,62.279762268066406,98.37850952148438,76.27357482910156,98.37850952148438,4132,6527
7,Trees,82.59647369384766,86.40336608886719,84.45704650878906,86.40336608886719,12584,13164
8,Grass,74.37430572509766,80.70307922363281,77.40955352783203,80.70307922363281,6628,7192
9,Red roof,98.95803833007812,95.47615814208984,97.18592071533203,95.47615814208984,7361,7102
10,Gray roof,91.25639343261719,96.45210266113281,93.78234100341797,96.45210266113281,11838,12512
11,Plastic,60.802833557128906,100.0,75.62407684326172,100.0,2575,4235
