class_id,class_name,precision_percent,recall_percent,f1_percent,accuracy_percent,support,predicted_count
0,Asphalt,96.50543212890625,97.56570434570312,97.03266906738281,97.56570434570312,4642,4693
1,Meadows,99.70832061767578,99.50972747802734,99.60892486572266,99.50972747802734,13054,13028
2,Gravel,85.80133819580078,95.84751892089844,90.54662322998047,95.84751892089844,1469,1641
3,Trees,93.53845977783203,99.20745849609375,96.28959655761719,99.20745849609375,2145,2275
4,Painted,99.57716369628906,100.0,99.78813171386719,100.0,942,946
5,Soil,99.51358795166016,98.80681610107422,99.15894317626953,98.80681610107422,3520,3495
6,Bitumen,96.1832046508789,94.73684692382812,95.45455169677734,94.73684692382812,931,917
7,Bricks,96.11566925048828,86.38479614257812,90.99081420898438,86.38479614257812,2578,2317
8,Shadows,99.52531433105469,94.87179565429688,97.14285278320312,94.87179565429688,663,632
