class_id,class_name,precision_percent,recall_percent,f1_percent,accuracy_percent,support,predicted_count
0,Asphalt,99.73838806152344,98.55665588378906,99.14399719238281,98.55665588378906,4642,4587
1,Meadows,99.70832061767578,99.50972747802734,99.60892486572266,99.50972747802734,13054,13028
2,Gravel,97.39826202392578,99.38733673095703,98.38274383544922,99.38733673095703,1469,1499
3,Trees,96.44304656982422,99.86013793945312,98.12185668945312,99.86013793945312,2145,2221
4,Painted,100.0,100.0,100.0,100.0,942,942
5,Soil,99.51358795166016,98.80681610107422,99.15894317626953,98.80681610107422,3520,3495
