class_id,class_name,precision_percent,recall_percent,f1_percent,accuracy_percent,support,predicted_count
0,Asphalt,94.22529602050781,99.8276596069336,96.94560241699219,99.8276596069336,4642,4918
1,Meadows,99.16793060302734,94.95173645019531,97.01404571533203,94.95173645019531,13054,12499
2,Gravel,96.85489654541016,92.23961639404297,94.49093627929688,92.23961639404297,1469,1399
3,Trees,97.8057861328125,97.66899871826172,97.73734283447266,97.66899871826172,2145,2142
4,Painted,99.68254089355469,100.0,99.84101867675781,100.0,942,945
5,Soil,83.65196228027344,96.9602279663086,89.81578826904297,96.9602279663086,3520,4080
6,Bitumen,100.0,81.95488739013672,90.0826416015625,81.95488739013672,931,763
7,Bricks,94.58712005615234,92.86268615722656,93.71696472167969,92.86268615722656,2578,2531
8,Shadows,97.6011962890625,98.19004821777344,97.89473724365234,98.19004821777344,663,667
